deployment_project_reference,datacenter_reference,deployment_id,deployment_guid,receiver_manufacturer,receiver_model,receiver_serial_number,latitude,longitude,time,recovery_datetime_utc,array_name,receiver_reference_type,receiver_reference_id
JBC,OTN-Global,JBC-BONAVISTA 1-VR2-5966-12,OTN-GlobalJBCJBC-BONAVISTA 1-VR2-5966-12,VEMCO,VR2,5966,48.66978,-53.12122,2006-06-10T13:17:00Z,2006-06-11T00:10:00Z,JBC,ManmadePlatform,JBC_JBC-BONAVISTA 1
JBC,OTN-Global,JBC-BONAVISTA 1-VR2-5966-16,OTN-GlobalJBCJBC-BONAVISTA 1-VR2-5966-16,VEMCO,VR2,5966,48.65423,-53.13785,2006-06-11T00:19:00Z,2006-06-11T13:10:00Z,JBC,ManmadePlatform,JBC_JBC-BONAVISTA 1
JBC,OTN-Global,JBC-BONAVISTA 1-VR2-5966-1,OTN-GlobalJBCJBC-BONAVISTA 1-VR2-5966-1,VEMCO,VR2,5966,48.6583,-53.13022,2006-06-05T12:30:00Z,2006-06-05T19:45:00Z,JBC,ManmadePlatform,JBC_JBC-BONAVISTA 1
JBC,OTN-Global,JBC-BONAVISTA 1-VR2-5966-2,OTN-GlobalJBCJBC-BONAVISTA 1-VR2-5966-2,VEMCO,VR2,5966,48.82622,-53.13047,2006-06-07T12:53:00Z,2006-06-07T16:45:00Z,JBC,ManmadePlatform,JBC_JBC-BONAVISTA 1
JBC,OTN-Global,JBC-CHANDLER REACH 2-VR2-5967-5,OTN-GlobalJBCJBC-CHANDLER REACH 2-VR2-5967-5,VEMCO,VR2,5967,48.50747,-53.75628,2008-06-23T13:00:00Z,2008-11-23T14:45:00Z,JBC,ManmadePlatform,JBC_JBC-CHANDLER REACH 2
JBC,OTN-Global,JBC-CHANDLER REACH 2-VR2-5967-1,OTN-GlobalJBCJBC-CHANDLER REACH 2-VR2-5967-1,VEMCO,VR2,5967,48.50967,-53.76433,2005-11-23T15:34:00Z,2006-06-03T23:45:00Z,JBC,ManmadePlatform,JBC_JBC-CHANDLER REACH 2
JBC,OTN-Global,JBC-CHANDLER REACH 2-VR2-5967-2,OTN-GlobalJBCJBC-CHANDLER REACH 2-VR2-5967-2,VEMCO,VR2,5967,48.50967,-53.76545,2006-06-04T00:00:00Z,2007-07-04T22:00:00Z,JBC,ManmadePlatform,JBC_JBC-CHANDLER REACH 2
JBC,OTN-Global,JBC-CHANDLER REACH 2-VR2-5967-3,OTN-GlobalJBCJBC-CHANDLER REACH 2-VR2-5967-3,VEMCO,VR2,5967,48.51195,-53.7617,2007-07-04T22:15:00Z,2007-11-08T15:15:00Z,JBC,ManmadePlatform,JBC_JBC-CHANDLER REACH 2
JBC,OTN-Global,JBC-CHANDLER REACH 2-VR2-5967-4,OTN-GlobalJBCJBC-CHANDLER REACH 2-VR2-5967-4,VEMCO,VR2,5967,48.5128,-53.75972,2007-11-08T15:30:00Z,2008-06-23T12:59:00Z,JBC,ManmadePlatform,JBC_JBC-CHANDLER REACH 2
JBC,OTN-Global,JBC-BONAVISTA 2-VR2-6821-1,OTN-GlobalJBCJBC-BONAVISTA 2-VR2-6821-1,VEMCO,VR2,6821,48.70087,-53.12167,2006-04-03T18:59:00Z,2006-06-07T19:30:00Z,JBC,ManmadePlatform,JBC_JBC-BONAVISTA 2
JBC,OTN-Global,JBC-BONAVISTA 2-VR2-6821-2006,OTN-GlobalJBCJBC-BONAVISTA 2-VR2-6821-2006,VEMCO,VR2,6821,48.70665,-53.12318,2006-06-07T19:51:00Z,1900-01-01T00:00:00Z,JBC,ManmadePlatform,JBC_JBC-BONAVISTA 2
JBC,OTN-Global,JBC-SMITH SOUND 4-VR2-6822-3,OTN-GlobalJBCJBC-SMITH SOUND 4-VR2-6822-3,VEMCO,VR2,6822,48.18362,-53.85313,2007-08-23T22:04:00Z,2007-11-12T14:11:00Z,JBC,ManmadePlatform,JBC_JBC-SMITH SOUND 4
